time	line	instance	edges	omega	degree	minloops	maxloops	pimin	lambda	[lambda>0]	mix	leigen	ueigen	ucanon	
(60h:43m:06s)	11170	6,4,4,4,1,0;5,4,3,3,3,1	19	6	441	438	438	1/6	0.993197	1	953	453.666	1278.83	3197.07	
(60h:43m:06s)	11171	6,4,4,4,1,0;4,4,4,3,3,1	19	24	441	431	434	1/24	0.991848	1	798	378.08	1237.27	4262.52	
(60h:43m:06s)	11172	6,4,4,4,1,0;6,5,2,2,2,2	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11173	6,4,4,4,1,0;6,4,3,2,2,2	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11174	6,4,4,4,1,0;5,5,3,2,2,2	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11175	6,4,4,4,1,0;5,4,4,2,2,2	19	6	441	438	438	1/6	0.993197	1	953	453.666	1278.83	3197.07	
(60h:43m:06s)	11176	6,4,4,4,1,0;6,3,3,3,2,2	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11177	6,4,4,4,1,0;5,4,3,3,2,2	19	15	441	433	433	1/15	0.99093	1	714	339.473	1060.14	2544.34	
(60h:43m:06s)	11178	6,4,4,4,1,0;4,4,4,3,2,2	19	57	441	427	431	1/57	0.989945	1	648	305.914	1089.06	5083.48	
(60h:43m:06s)	11179	6,4,4,4,1,0;5,3,3,3,3,2	19	36	441	432	432	1/36	0.988662	1	609	270.957	925.33	5269.24	
(60h:43m:06s)	11180	6,4,4,4,1,0;4,4,3,3,3,2	19	123	441	425	426	1/123	0.988662	1	579	270.957	1033.7	5084.45	
(60h:43m:06s)	11181	6,4,4,4,1,0;4,3,3,3,3,3	19	270	441	424	424	1/270	0.986395	1	505	225.28	919.204	6597.84	
(60h:43m:06s)	11182	5,5,4,4,1,0;5,5,4,4,1,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11183	5,5,4,4,1,0;6,6,3,2,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11184	5,5,4,4,1,0;6,5,4,2,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11185	5,5,4,4,1,0;5,5,5,2,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11186	5,5,4,4,1,0;6,5,3,3,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11187	5,5,4,4,1,0;6,4,4,3,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11188	5,5,4,4,1,0;5,5,4,3,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11189	5,5,4,4,1,0;5,4,4,4,2,0	19	1	441	441	441	1	NA	NA	0	NA	NA	NA	
